"companyName","jobTitle","question","answer","date"
"Ford Motor Company","Data Scientist","Talk about a time where you were part of a major feature/initiative?","","Oct 4, 2021"
"American Express","Junior Data Scientist","What is CNN and LSTM? Difference between for loops and list comprehension? How would I clean a text dataset? Difference between unsupervised and supervised learning?","","Oct 4, 2021"
"Crew","Data Analyst Associate","Tell me about yourself Teamwork","","Oct 4, 2021"
"Ugam","Sr Data Analyst","SQL aggregations, Case (Use STAR to solve), behavioral","","Oct 4, 2021"
"North Highland","Data Scientist","Tell me about your background","Answered it the usual way.","Oct 3, 2021"
"IBM","Data Scientist","They asked about python on panda’s","","Oct 3, 2021"
"IBM","Junior Data Scientist","What's the difference between supervised and unsupervised learning?","","Oct 1, 2021"
"CDC Foundation","Data Analyst","How would you respond to criticism?","","Oct 1, 2021"
"Wayfair","Data Engineer","Describing your past project experience and tech stack you've worked upon. SQL","","Oct 1, 2021"
"Voltus","Data Engineer","Some questions pertaining to the kind of data and data structures needed for DR programs and load dashboards.","","Oct 1, 2021"
"Voltus","Data Engineer","Describe data flow from meter sites to database (i.e. push or pull, guaranteed delivery, processing, etc.).","","Oct 1, 2021"
"Voltus","Data Engineer","What kind of database would you use for this dataset?","","Oct 1, 2021"
"Voltus","Data Engineer","Describe a data model for electrical load data that is used for monitoring DR programs.","","Oct 1, 2021"
"Arrow Electronics","Data Scientist Intern","Object-oriented questions, some sample logic flow, and then some quick language tests.","","Oct 1, 2021"
"Wurl","Data Scientist","Resume walkthrough, basic probability and statistics, no leetcode","","Sep 30, 2021"
"Fluz","Data Analyst Internship","Tell me about a time when you find yourself in a difficult situation and how you solved it.","","Sep 30, 2021"
"Blue Yonder","Data Science Intern","Tell us about your experiences?","","Sep 30, 2021"
"CreditNinja","Data Scientist","Why are you looking to leave your current company?","","Sep 30, 2021"
"Chubb","Data Analyst","One of my internal and external problems I had and how I overcame that. One of the real world problems that always makes me wonder to change, what is the problem and how would I change it.","","Sep 29, 2021"
"Chubb","Data Analyst","Why did I choose Chubb? How did I find out about chubb?","","Sep 29, 2021"
"AffiniPay","Data Scientist","Explaining the algorithms/analyses I included on my resume. Example: walk me through how you created and then presented the results of your k-nearest neighbors algorithm Explain different examples how you refactored your code, what was important considerations while refactoring. Many questions about data wrangling and encountering messy data and how you worked around it. When you were training junior analysts on your team, what was your typical process explaining different topics","","Sep 29, 2021"
"Amazon","Data Engineer","Describe situation when you disagree with your manager and how you handle it.","","Sep 29, 2021"
"Suffolk Construction","Data Engineer","Willing and ready to learn new toolsets and complex datasets.","","Sep 29, 2021"
"New Jersey Transit"," ","What experience do you have with SQL and can you tell me a line of SQL?","","Sep 29, 2021"
"Intuit","Senior Data Scientist","Linear regression topics that you cover in undergrad.","","Sep 28, 2021"
"Postclick","Data Analyst","Talk about your background and skills","","Sep 28, 2021"
"Maisonette","Data Analyst","Talk about past experience; common behavioral questions; several technical product case questions about logistics and shipping data","","Sep 28, 2021"
"Fidelity Investments","Data Engineer","They just asked me some SQL and Java technical questions","","Sep 28, 2021"
"HCL","Data Analyst","5 sql questions 2 python questions 2 statistics","","Sep 28, 2021"
